,0
host_neighbourhood_Concourse,0.0
host_neighbourhood_Concourse Village,0.0
host_neighbourhood_Coney Island,0.0
host_neighbourhood_Coral Way,0.0
host_neighbourhood_Corkscrew,0.0
host_neighbourhood_Corky Row Historic District,0.0
host_neighbourhood_Corona,0.0
host_neighbourhood_Cote-des-Neiges,0.0
host_neighbourhood_Cream Ridge,0.0
host_neighbourhood_Crown Heights,0.0
host_neighbourhood_Cypress Hills,0.0
host_neighbourhood_College Point,0.0
host_neighbourhood_Ditmars / Steinway,0.0
host_neighbourhood_Central City,0.0
host_neighbourhood_Central LA,0.0
host_neighbourhood_Central Ward,0.0
host_neighbourhood_Chinatown,0.0
host_neighbourhood_City Island,0.0
host_neighbourhood_Claremont,0.0
host_neighbourhood_Clarksville,0.0
host_neighbourhood_Clason Point,0.0
host_neighbourhood_Clifton,0.0
host_neighbourhood_Clinton Hill,0.0
host_neighbourhood_Cobble Hill,0.0
"host_neighbourhood_College Park, MD",0.0
host_neighbourhood_DUMBO,0.0
host_neighbourhood_Lower East Side,0.0
host_neighbourhood_Lower Haight,0.0
host_neighbourhood_Lyon Hoag,0.0
host_neighbourhood_Madison Center,0.0
host_neighbourhood_Manchester Center,0.0
host_neighbourhood_Manhattan Beach,0.0
host_neighbourhood_Manor Heights,0.0
host_neighbourhood_Mapleton,0.0
host_neighbourhood_Mar Vista,0.0
host_neighbourhood_Marble Hill,0.0
host_neighbourhood_Marine Park,0.0
host_neighbourhood_Mariners Harbor,0.0
host_neighbourhood_Borough Park,0.0
host_neighbourhood_Maspeth,0.0
host_neighbourhood_McGinley Square,0.0
host_neighbourhood_Meadowvale,0.0
host_neighbourhood_La Jolla,0.0
host_neighbourhood_Laconia,0.0
host_neighbourhood_Las Lomas I,0.0
host_neighbourhood_Laurelton,0.0
host_neighbourhood_Leblon,0.0
host_neighbourhood_Lefferts Garden,0.0
host_neighbourhood_Lefferts Manor Historic District,0.0
host_neighbourhood_Lighthouse HIll,0.0
host_neighbourhood_Lighthouse Hill,0.0
host_neighbourhood_Lindenwood,0.0
host_neighbourhood_Marlton,0.0
host_neighbourhood_Monterey,0.0
host_neighbourhood_Morningside,0.0
host_neighbourhood_Alexandria West,0.0
host_neighbourhood_Morris Heights,0.0
host_neighbourhood_Morris Park,0.0
host_neighbourhood_Morrisania,0.0
host_neighbourhood_Mott Haven,0.0
host_neighbourhood_Mount Eden,0.0
host_neighbourhood_Napili/Honokowai,0.0
host_neighbourhood_Naples Park,0.0
host_neighbourhood_New Brighton,0.0
host_neighbourhood_New Dorp Beach,0.0
host_neighbourhood_Monfort Heights East,0.0
host_neighbourhood_New Springville,0.0
host_neighbourhood_Noho,0.0
host_neighbourhood_Meatpacking District,0.0
host_neighbourhood_Melrose,0.0
host_neighbourhood_Mid Island,0.0
host_neighbourhood_Mid-Wilshire,0.0
host_neighbourhood_Middle Village,0.0
host_neighbourhood_Midland Beach,0.0
host_neighbourhood_Midtown Atlanta,0.0
host_neighbourhood_Midwood,0.0
host_neighbourhood_Mill Basin,0.0
host_neighbourhood_Milwood,0.0
host_neighbourhood_Mission District,0.0
host_neighbourhood_New Orleans East,0.0
host_neighbourhood_Highland Park,0.0
host_neighbourhood_Highlands,0.0
host_neighbourhood_Hillcrest,0.0
host_neighbourhood_Hollis,0.0
host_neighbourhood_Hollywood Hills West,0.0
host_neighbourhood_Homecrest,0.0
host_neighbourhood_Howard Beach,0.0
host_neighbourhood_Hudson Square,0.0
host_neighbourhood_Frydendal,0.0
host_neighbourhood_Garden Hills/Buckhead Village/Peachtree Park,0.0
host_neighbourhood_Gerritsen Beach,0.0
host_neighbourhood_Glen Park,0.0
host_neighbourhood_Little Caribbean,0.0
host_neighbourhood_Graniteville,0.0
host_neighbourhood_Gravesend,0.0
host_neighbourhood_Grays Ferry,0.0
host_neighbourhood_Great Kills,0.0
host_neighbourhood_Greenville,0.0
host_neighbourhood_Greenwich Village,0.0
host_neighbourhood_Flatbush,0.0
host_neighbourhood_Belmont,0.0
host_neighbourhood_Benning Ridge,0.0
host_neighbourhood_Bensonhurst,0.0
host_neighbourhood_Bergen Beach,0.0
host_neighbourhood_Bergen-Lafayette,0.0
host_neighbourhood_Bocagrande,0.0
host_neighbourhood_Grandview Heights,0.0
host_neighbourhood_Little Haiti,0.0
host_neighbourhood_Little Havana,0.0
host_neighbourhood_Little Italy,0.0
host_neighbourhood_Long Island City,0.0
host_neighbourhood_Longwood,0.0
host_neighbourhood_Hunts Point,0.0
host_neighbourhood_Industrial Section,0.0
host_neighbourhood_Inglewood-Finn Hill,0.0
host_neighbourhood_Inwood,0.0
host_neighbourhood_Jackson Heights,0.0
host_neighbourhood_Jamaica,0.0
host_neighbourhood_Jeffersonville,0.0
host_neighbourhood_Highbridge,0.0
host_neighbourhood_Joá,0.0
host_neighbourhood_Kensington,0.0
host_neighbourhood_Kew Garden Hills,0.0
host_neighbourhood_Kingsbridge,0.0
host_neighbourhood_Kingsbridge Heights,0.0
host_neighbourhood_Kips Bay,0.0
host_neighbourhood_La Concordia,0.0
host_neighbourhood_Greenwood Heights,0.0
host_neighbourhood_Grymes Hill,0.0
host_neighbourhood_Guilford Hills,0.0
host_neighbourhood_Hamilton Heights,0.0
host_neighbourhood_Harlem,0.0
host_neighbourhood_Hell's Kitchen,0.0
host_neighbourhood_Journal Square,0.0
